iter	Logloss
0	0.6740733402
1	0.6528983826
2	0.6364097851
3	0.6221920918
4	0.6047431047
5	0.5892909064
6	0.5781955701
7	0.5605144092
8	0.5470157208
9	0.530190063
10	0.513448628
11	0.4966188702
12	0.4871007461
13	0.4783460001
14	0.4682667222
15	0.4536174995
16	0.4432837146
17	0.4305801222
18	0.4207211046
19	0.4089673247
20	0.4014645615
21	0.3942598156
22	0.3824706312
23	0.3769346294
24	0.3718317691
25	0.3614796415
26	0.3547770213
27	0.3484425456
28	0.3414351168
29	0.3362656588
30	0.3287611653
31	0.3239551285
32	0.316914508
33	0.3112667419
34	0.3059474154
35	0.2999737185
36	0.2939255506
37	0.2902436914
38	0.2863823272
39	0.2841069527
40	0.2814519682
41	0.2784035604
42	0.2742996306
43	0.2723389667
44	0.2682557778
45	0.263890128
46	0.2609251715
47	0.2575694352
48	0.2533699419
49	0.2492982736
50	0.2451564792
51	0.2418670175
52	0.2381006473
53	0.236373891
54	0.2332529605
55	0.2301726928
56	0.2287842437
57	0.2262822245
58	0.2245423417
59	0.2223081512
60	0.2186993161
61	0.2167755878
62	0.214972852
63	0.2136916696
64	0.2123073972
65	0.2107029343
66	0.2091596383
67	0.2073027213
68	0.2060411726
69	0.2043607935
70	0.2018268383
71	0.2002443631
72	0.1983630368
73	0.1967692916
74	0.1952368485
75	0.193484949
76	0.1918582215
77	0.190662386
78	0.1885960588
79	0.1860961314
80	0.1852852462
81	0.1837570553
82	0.1819179632
83	0.1800534743
84	0.1787844151
85	0.1780397897
86	0.1764854172
87	0.1742626427
88	0.1735178788
89	0.1718626953
90	0.1708822227
91	0.1704018076
92	0.1696540313
93	0.1683643723
94	0.1677587591
95	0.1670617963
96	0.1658871611
97	0.1640880456
98	0.1635388928
99	0.1627736175
100	0.1614171577
101	0.160514537
102	0.1591982386
103	0.1581839582
104	0.1575204235
105	0.1571439021
106	0.1557677583
107	0.1549135959
108	0.1544571248
109	0.1533881348
110	0.152999378
111	0.1525535435
112	0.152166181
113	0.1502702516
114	0.1494373125
115	0.1486701716
116	0.1479721167
117	0.1473306523
118	0.1471254699
119	0.1465344323
120	0.1462083339
121	0.1454317987
122	0.1443493569
123	0.143737295
124	0.1423639097
125	0.1422874211
126	0.1415074837
127	0.1405226348
128	0.1390947759
129	0.1385525319
130	0.1383414502
131	0.1375309957
132	0.136561549
133	0.1363840206
134	0.1361022358
135	0.1358076579
136	0.1356383502
137	0.1348193062
138	0.134254675
139	0.1339572257
140	0.1335171231
141	0.1327233813
142	0.1318508532
143	0.1313844703
144	0.1312289203
145	0.1307769678
146	0.1303032414
147	0.1300315887
148	0.1297067372
149	0.1292665808
150	0.1289493797
151	0.1288101849
152	0.1282606205
153	0.1280241254
154	0.1278153965
155	0.1270270366
156	0.1268055383
157	0.126532201
158	0.1261310217
159	0.1255945325
160	0.1252427663
161	0.1249754868
162	0.1246312003
163	0.1239673865
164	0.1238689572
165	0.1233421966
166	0.1230819365
167	0.1226509339
168	0.1224809748
169	0.122081925
170	0.1219190314
171	0.1206668744
172	0.1205072942
173	0.1203291809
174	0.120071484
175	0.1198237674
176	0.1196994635
177	0.1191335834
178	0.1183901299
179	0.1182576958
180	0.1178231224
181	0.1175244717
182	0.117348219
183	0.1169979818
184	0.116707706
185	0.1165360013
186	0.1159036207
187	0.1155853644
188	0.1153527071
189	0.1150529917
190	0.114734079
191	0.1140263169
192	0.1136238783
193	0.1135080983
194	0.1133188892
195	0.1129006895
196	0.1128419638
197	0.1127545672
198	0.1122988205
199	0.1120458816
