iter	Passed	Remaining
0	357	71109
1	702	69524
2	1051	69066
3	1581	77511
4	2016	78635
5	2432	78644
6	2894	79818
7	3192	76628
8	3659	77659
9	3971	75458
10	4334	74473
11	4710	73799
12	5203	74846
13	5873	78028
14	6543	80699
15	7131	82012
16	7786	83815
17	8280	83723
18	8905	84834
19	9427	84850
20	9938	84714
21	10390	84072
22	10787	83013
23	11166	81886
24	11581	81067
25	11998	80297
26	12565	80513
27	13157	80821
28	13732	80972
29	14322	81158
30	14911	81292
31	15413	80920
32	15839	80155
33	16308	79621
34	16777	79092
35	17216	78431
36	17666	77825
37	18063	77007
38	18482	76300
39	18873	75492
40	19301	74852
41	19806	74510
42	20256	73961
43	20709	73426
44	21145	72836
45	21537	72103
46	21943	71432
47	22362	70814
48	22871	70480
49	23312	69937
50	23684	69197
51	24013	68344
52	24455	67829
53	24933	67411
54	25276	66638
55	25672	66015
56	26109	65503
57	26511	64907
58	27177	64949
59	27723	64688
60	28244	64361
61	28653	63776
62	29232	63568
63	29658	63023
64	30096	62508
65	30522	61970
66	30872	61284
67	31258	60677
68	31663	60115
69	32049	59521
70	32496	59043
71	33071	58793
72	33514	58305
73	33920	57755
74	34326	57210
75	34753	56703
76	35166	56175
77	35612	55701
78	36032	55189
79	36421	54631
80	36717	53943
81	37049	53315
82	37462	52808
83	37887	52321
84	38213	51700
85	38535	51082
86	38863	50477
87	39197	49888
88	39554	49332
89	39887	48751
90	40200	48151
91	40522	47569
92	40827	46973
93	41141	46393
94	41474	45840
95	41797	45280
96	42127	44733
97	42445	44177
98	42764	43628
99	43081	43081
100	43401	42541
101	43716	42001
102	44036	41471
103	44327	40917
104	44634	40383
105	44948	39859
106	45269	39346
107	45585	38831
108	45888	38310
109	46201	37801
110	46545	37319
111	46865	36822
112	47169	36316
113	47486	35823
114	47778	35314
115	48095	34827
116	48398	34334
117	48704	33845
118	49024	33369
119	49329	32886
120	49566	32361
121	49883	31892
122	50210	31432
123	50528	30968
124	50857	30514
125	51019	29963
126	51316	29497
127	51632	29043
128	51933	28583
129	52236	28127
130	52549	27678
131	52863	27232
132	53171	26785
133	53476	26339
134	53788	25898
135	54088	25453
136	54274	24958
137	54593	24527
138	54905	24095
139	55199	23657
140	55578	23256
141	55936	22847
142	56254	22423
143	56560	21995
144	56994	21618
145	57308	21196
146	57616	20773
147	57926	20352
148	58237	19933
149	58545	19515
150	58849	19096
151	59161	18682
152	59473	18269
153	59797	17861
154	60131	17457
155	60531	17072
156	60897	16678
157	61376	16315
158	61842	15946
159	62196	15549
160	62529	15146
161	62949	14765
162	63308	14370
163	63635	13968
164	63988	13573
165	64291	13168
166	64691	12783
167	65107	12401
168	65464	12008
169	65878	11625
170	66223	11230
171	66552	10834
172	66858	10434
173	67297	10056
174	67642	9663
175	67972	9268
176	68314	8876
177	68656	8485
178	68990	8093
179	69293	7699
180	69621	7308
181	70011	6924
182	70360	6536
183	70739	6151
184	71046	5760
185	71350	5370
186	71671	4982
187	71997	4595
188	72300	4207
189	72599	3821
190	72900	3435
191	73211	3050
192	73526	2666
193	73844	2283
194	74151	1901
195	74450	1519
196	74752	1138
197	75043	758
198	75360	378
199	75683	0
